Wall time,Step,Value
1600088184.0048048,75099,0.5833333134651184
1600088184.9076254,75599,0.6666666865348816
1600088185.81869,76099,0.6666666865348816
1600088186.8613608,76599,0.625
1600088187.8257551,77099,0.5555555820465088
1600088188.7530684,77599,0.5
1600088189.6516848,78099,0.6666666865348816
1600088190.5751784,78599,0.5
1600088191.4776218,79099,0.5
1600088192.3834722,79599,0.6666666865348816
1600088193.282492,80099,0.6000000238418579
1600088194.1884446,80599,0.6666666865348816
1600088195.0778637,81099,0.5555555820465088
1600088195.9928367,81599,0.6666666865348816
1600088196.941514,82099,0.625
1600088197.8556495,82599,0.6666666865348816
1600088198.778633,83099,0.7142857313156128
1600088199.679244,83599,0.6363636255264282
1600088200.5962381,84099,0.8333333134651184
1600088201.4996898,84599,0.6666666865348816
1600088202.4367054,85099,0.5714285969734192
1600088203.387615,85599,0.5555555820465088
1600088204.4069273,86099,0.6666666865348816
1600088205.3504412,86599,0.7272727489471436
1600088206.2610493,87099,0.6666666865348816
1600088207.228608,87599,0.5
1600088208.2083173,88099,0.8181818127632141
1600088209.213076,88599,0.5
1600088210.1597283,89099,0.6000000238418579
1600088211.0836468,89599,0.5714285969734192
1600088212.021865,90099,0.7777777910232544
1600088212.959443,90599,0.5
1600088213.909742,91099,0.5
1600088214.8693914,91599,0.625
1600088215.7914884,92099,0.8181818127632141
1600088216.73718,92599,0.7777777910232544
1600088217.6826353,93099,0.8999999761581421
1600088218.689683,93599,0.625
1600088219.6856077,94099,0.6666666865348816
1600088220.698673,94599,0.699999988079071
1600088221.680465,95099,0.8181818127632141
1600088222.6895483,95599,0.625
1600088223.6814108,96099,0.5
1600088224.680403,96599,0.699999988079071
1600088225.6684108,97099,0.6666666865348816
1600088226.6598392,97599,0.5
1600088227.6214714,98099,0.625
1600088228.6182423,98599,0.7142857313156128
1600088229.6254013,99099,0.7272727489471436
1600088230.5789318,99599,0.6666666865348816
1600088231.5091028,100099,0.625
1600088232.435564,100599,0.625
1600088233.3969758,101099,0.625
1600088234.342603,101599,0.6000000238418579
1600088235.2679565,102099,0.5
1600088236.3100207,102599,0.6000000238418579
1600088237.249825,103099,0.5833333134651184
1600088238.2318094,103599,0.6000000238418579
1600088239.2123978,104099,0.6666666865348816
1600088240.1655533,104599,0.6000000238418579
1600088241.162537,105099,0.5714285969734192
1600088242.188602,105599,0.6666666865348816
1600088243.1525376,106099,0.5
1600088244.0907319,106599,0.6000000238418579
1600088245.04452,107099,0.6666666865348816
1600088245.9736216,107599,0.6363636255264282
1600088246.8973124,108099,0.6000000238418579
1600088247.8243043,108599,0.6153846383094788
1600088248.76394,109099,0.5
1600088249.91037,109599,0.5555555820465088
1600088250.9234705,110099,0.6000000238418579
1600088251.8544686,110599,0.6666666865348816
1600088252.7992053,111099,0.5714285969734192
1600088253.7483554,111599,0.5
1600088254.7664304,112099,0.6666666865348816
1600088255.7115066,112599,0.699999988079071
1600088256.663265,113099,0.6666666865348816
1600088257.6112685,113599,0.5714285969734192
1600088258.5775616,114099,0.5
1600088259.5119617,114599,0.5833333134651184
1600088260.5184488,115099,0.5833333134651184
1600088261.4514153,115599,0.75
1600088262.3885553,116099,0.800000011920929
1600088263.3853927,116599,0.5714285969734192
1600088264.3206801,117099,0.5
1600088265.2605867,117599,0.625
1600088266.2145169,118099,0.6666666865348816
1600088267.1529253,118599,0.5555555820465088
1600088268.1012244,119099,0.5
1600088269.054415,119599,0.5714285969734192
